Название товара,Категория,Описание,Цвет,Дизайн ДОМИНО,Материал рабочей поверхности,Установка,Тип варочной поверхности,Ширина,Высота,Глубина,Ширина для встраивания,Глубина для встраивания,Общее количество конфорок,Конфорок газовых,Необычные конфорки,Переключатели,Расположение панели управления,Электроподжиг,Тип электроподжига,Газ-контроль конфорок,Особенности,Возможность работы от газового баллона,Дополнительная информация,Габариты транспортной упаковки,Вес в транспортной упаковке,Срок службы,Гарантийный срок,Номинальная мощность,Специальные конфорки,Конфорок Двойная корона,Управление со смартфона,Экспресс-конфорок,Максимальная потребляемая мощность,Безопасность,"Вес товара, г",Комплектация,Материал решетки варочной панели,Многоконтурные конфорки,"Размеры ниши для встраивания панели, мм","Размеры, мм",Тип,Линейка,Конфорок электрических,Конфорок индукционных,Минимальный диаметр конфорки,Максимальный диаметр конфорки,Размеры конфорок,Тип сенсорного управления,Функции,Тип таймера,Индикация,"Минимальная толщина столешницы, мм",Тип управления,Конфорок Hi Light,Цвет рамки,Электроконфорок,Условия возврата,Ширина общая,Глубина общая,Глубина сиденья,Длина спального места,Ширина спального места,Обивка,Цвет товара,Назначение,Число мест,Механизм трансформации,Тип подлокотников,Наполнитель,Материал каркаса,Высота общая,Максимальная нагрузка,Тип ткани,Расположение угла,Вес,Стиль,Вид выпуска товара,Исполнение,Тип матраса,Покрытие корпуса,Рисунок на обивке,Форма дивана,Тип духового шкафа,Объем духовки,Класс энергопотребления,Мощность подключения,Размеры (ВхШхГ),Максимальная температура,Режимы нагрева,Число автоматических программ,Функция СВЧ,Гриль,Тип гриля,Конвекция,Тип поворотных переключателей,Особенности конструкции,Дополнительные функции,Газ-контроль,Дверца духовки,Очистка духовки,Число стекол дверцы духовки,Подробная комплектация,Мощность гриля,Утапливаемые переключатели,Сенсорный дисплей,Уникальные технологии,Протокол связи,"Вес, кг",Внутреннее покрытие,Количество режимов работы,Подсветка духовки,"Потребляемая мощность, Вт","Размер ниши, мм",Таймер,Телескопические направляющие духовки,Управление духовкой,Функционал духовки,"Ширина встраивания, см",Совместимые поверхности,Количество кресел в комплекте,Материал обивки,Высота сиденья,Высота спинки,Для детей,Высота ножек,Комната,Назначение (помещение),Ориентация,"Ширина спинки, см",Высота спального места,Не содержит,Упаковка,Условия хранения,Белки в 100 г,Жиры в 100 г,Углеводы в 100 г,Состав,Набор,Тип питания,Энергетическая ценность в 100 г,Срок годности,Страна произрастания,Стандарты производства,Объем,Количество упаковок,Средство,Степень фиксации,Эффект,Тип волос,Нанесение,Область применения,Профессиональное средство,Страна бренда,Способ применения,Форма выпуска,Для мужчин,Пол,Професcиональное средство,Солнцезащитная косметика,Целевая аудитория,Вид сухофруктов,Вид обработки сухофруктов,Минимальная температура,Минимальный возраст ребенка,Название серии,Содержит,Срок годности в днях,Срок потребления,Форма выпуска сухофрукты/цукаты,С дозатором,Количество,Активный ингредиент,Уровень pH,Масла и экстракты,Аромат
"Газовая варочная панель Kosmos-Vio HGD63OBGA1, черное стекло",варочные панели,"Kosmos-Vio — это бренд удобной бытовой техники, придуманный в Космосе. Kosmos-Vio HGD63OBGA1 — это встраиваемая газовая варочная панель общей мощностью 4000 Вт. Узкая — всего 30 см в ширину — подойдёт для компактной кухни. Панель сделана из закалённого стекла. Такое покрытие выдерживает высокие температуры и за ним просто ухаживать мягкими неабразивными средствами. Поверхность не выцветает со временем и долго сохраняет эстетичный внешний вид. Варочная панель оснащена и классической газовой конфоркой, и специальной горелкой для вока. Два ряда мощного пламени и быстрый нагрев, чтобы приготовить настоящий вок у себя дома. Режимы регулируются удобными металлическими переключателями. Современные итальянские конфорки Sabaf гарантируют долговечность и безопасность варочной поверхности. Встроенная технология газ-контроля защищает от утечек: механизм с датчиком отключает подачу газа, когда огонь в горелке затухает. Для наибольшей устойчивости газовая панель оснащена широкими чугунными решетками.",черное стекло,да,закаленное стекло,независимая,газовая,30 см,9 см,52 см,26.2 см,48 см,2,2,конфорка WOK,поворотные,спереди,да,автоматический,да,чугунные решетки,да,"максимальная потребляемая мощность 4 кВт; конфорки производителя Sabaf, комплектация с вилкой",30х52х9 см,7.2 кг,7 лет,5 лет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Газовая варочная панель Kosmos-Vio HGD63СBGA1, чёрное стекло",варочные панели,"Kosmos-Vio — это бренд удобной бытовой техники, придуманный в Космосе. Kosmos-Vio HGD63СBGA1— это встраиваемая газовая варочная панель общей мощностью 4300 Вт. Узкая — всего 27 см в ширину — подойдёт для компактной кухни. Панель сделана из закалённого стекла. Такое покрытие выдерживает высокие температуры и за ним просто ухаживать мягкими неабразивными средствами. Поверхность не выцветает со временем и долго сохраняет эстетичный внешний вид. Варочная панель оснащена и классическими газовыми горелками, и специальной WOK-конфоркой мощностью 3600 Вт: два ряда пламени и быстрый нагрев, чтобы приготовить настоящий вок у себя дома. Режимы регулируются удобными металлическими переключателями. Современные итальянские конфорки Defendi гарантируют надёжность и безопасность варочной поверхности. Специальная конструкция с несколькими кольцами пламени помогает экономить потребление газа и электроэнергии. Встроенная технология газ-контроля защищает от утечек: механизм с датчиком отключает подачу газа, когда огонь в горелке затухает. Газовая панель устойчивая, с широкими чугунными решётками, которые выдерживают даже очень тяжёлую посуду.",черное стекло,да,закаленное стекло,независимая,газовая,,,,26.8 см,49 см,2,2,конфорка WOK,поворотные,спереди,да,автоматический,да,,да,чугунные решетки,30х52х9 см,7.2 кг,7 лет,5 лет,4.3 кВт,Двойная корона,1,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Газовая варочная панель Kosmos-Vio HGD64OBGA1, черное стекло",варочные панели,"Kosmos-Vio — это бренд удобной бытовой техники, придуманный в Космосе. Kosmos-Vio HGD64OBGA1 — это встраиваемая газовая варочная панель общей мощностью 4000 Вт. Узкая — всего 30 см в ширину — подойдёт для компактной кухни. Панель сделана из закалённого стекла. Такое покрытие выдерживает высокие температуры и за ним просто ухаживать мягкими неабразивными средствами. Поверхность не выцветает со временем и долго сохраняет эстетичный внешний вид. Варочная панель оснащена и классической газовой конфоркой, и специальной горелкой для вока. Два ряда мощного пламени и быстрый нагрев, чтобы приготовить настоящий вок у себя дома. Режимы регулируются удобными металлическими переключателями. Современные итальянские конфорки Sabaf гарантируют долговечность и безопасность варочной поверхности. Встроенная технология газ-контроля защищает от утечек: механизм с датчиком отключает подачу газа, когда огонь в горелке затухает. Для наибольшей устойчивости газовая панель оснащена широкими чугунными решетками.",черное стекло,да,закаленное стекло,независимая,газовая,30 см,9 см,52 см,26.2 см,48 см,2,2,,поворотные,спереди,да,автоматический,да,чугунные решетки,да,"максимальная потребляемая мощность 4 кВт; конфорки производителя Sabaf, комплектация с вилкой",52х30х9 см,7.2 кг,7 лет,5 лет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Газовая варочная панель Kosmos-Vio HGS63DWGA1, белое стекло",варочные панели,"Kosmos-Vio — это бренд удобной бытовой техники, придуманный в Космосе. Kosmos-Vio HGS63DWGA1 — это встраиваемая газовая варочная панель общей мощностью 8100 Вт. Вместительная и универсальная — 60 см в ширину — легко вписывается в любую кухню. Панель сделана из закалённого стекла. Такое покрытие выдерживает высокие температуры и за ним просто ухаживать мягкими неабразивными средствами.Поверхность не выцветает со временем и долго сохраняет эстетичный внешний вид. Варочная панель оснащена и классическими газовыми конфорками, и специальной горелкой для вока. Два ряда мощного пламени и быстрый нагрев, чтобы приготовить настоящий вок у себя дома. Режимы регулируются удобными металлическими переключателями. Современные итальянские конфорки Sabaf гарантируют долговечность и безопасность варочной поверхности. Специальная конструкция с несколькими кольцами пламени помогает экономить потребление газа и электроэнергии. Встроенная технология газ-контроля защищает от утечек: механизм с датчиком отключает подачу газа, когда огонь в горелке затухает. Для наибольшей устойчивости газовая панель оснащена широкими чугунными решетками. Рабочая поверхность подходит для самых разных задач. Специальное двойное расширение контура конфорки помогает увеличивать зону нагрева. Функция пригодится и для больших круглых блюд, и для грилевых сковород, и для вытянутых утятниц.",белое стекло,,закаленное стекло,независимая,газовая,60 см,10.2 см,51 см,56 см,49 см,4,4,конфорка WOK,поворотные,спереди,да,автоматический,да,чугунные решетки,да,"максимальная потребляемая мощность 8.1 кВт; конфорки производителя Sabaf, комплектация с вилкой",60х51х10.20 см,11.8 кг,7 лет,5 лет,,"Двойная корона, экспресс-конфорка",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Газовая варочная панель Kosmos-Vio HGS68TBGB1, черное стекло",варочные панели,"Kosmos-Vio — это бренд удобной бытовой техники, придуманный в Космосе. Kosmos-Vio HGS68TBGB1 — это встраиваемая газовая варочная панель общей мощностью 8100 Вт. Вместительная и универсальная — 59 см в ширину — легко вписывается в любую кухню. Панель сделана из закалённого стекла. Такое покрытие выдерживает высокие температуры и за ним просто ухаживать мягкими неабразивными средствами. Поверхность не выцветает со временем и долго сохраняет эстетичный внешний вид. Варочная панель оснащена и классическими газовыми конфорками, и специальной горелкой для вока. Два ряда мощного пламени и быстрый нагрев, чтобы приготовить настоящий вок у себя дома. Режимы регулируются удобными металлическими переключателями. Современные итальянские конфорки Sabaf гарантируют долговечность и безопасность варочной поверхности. Специальная конструкция с несколькими кольцами пламени помогает экономить потребление газа и электроэнергии. Встроенная технология газ контроля Orkli защищает от утечек: механизм с датчиком отключает подачу газа, когда огонь в горелке затухает. Рабочая зона оснащена газовыми решетками из чугуна. Лаконичные, квадратной формы, они не боятся повреждений и не переворачиваются под весом даже тяжелой посуды. Рабочая поверхность подходит для самых разных задач. Специальное двойное расширение контура конфорки помогает увеличивать зону нагрева. Функция пригодится и для больших круглых блюд, и для грилевых сковород, и для вытянутых утятниц.",черное стекло,,закаленное стекло,независимая,газовая,59 см,9.7 см,52 см,56 см,49 см,4,4,,поворотные,спереди,да,автоматический,да,чугунные решетки,да,"WOK двойная корона повышенной мощности; в комплекте кабель с вилкой, широкие чугунные решетки на резиновых подкладках; Конфорки итальянского производителя Sabaf, клапан газ-контроля испанского производителя ORKLI",56х65х16.20 см,14.7 кг,7 лет,5 лет,8.1 кВт,"WOK, Экспресс",1,нет,1,8.1 кВт,Газконтроль,14700,"панель, кабель с вилкой, широкие чугунные решетки на резиновых подкладках, конфорки итальянского производителя Sabaf, клапан газ-контроля испанского производителя ORKLI",Чугун,Двойная корона,560х490,590х97х520,Варочная панель,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Индукционная варочная панель Kosmos-berg ICS 604 (Модификация 2024 года),варочные панели,"Официальный магазин бытовой техники Kosmos-berg. Kosmos-berg - производитель бытовой техники для кухни с 15 летней историей на мировом рынке! Продукция Kosmos-berg - разработана в Германии, создана для уюта. Надежность в работе, удобство в использовании - честная формула немецкого качества. В нашем ассортименте представлены варочные панели, духовые шкафы электрические, вытяжки кухонные, посудомоечные машины, микроволновые печи, стиральные машины, холодильники. Индукционная варочная панель Kosmos-berg ICS 604 сэкономит вам не только время, но и деньги – с ней вы будете расходовать меньше энергии. Сенсорное управление, стеклокерамическая поверхность и стильный дизайн делают индукционнцю плиту желанным приобретением для современной кухни. Грейте посуду, А НЕ поверхность плиты Принцип работы индукционных варочных панелей заставляет нагреваться саму посуду и пищу в ней, а поверхность плиты остаётся холодной. Конечно, она немного нагреется от самой кастрюли с кипящим бульоном, но стеклокерамика остывает очень быстро, поэтому риска обжечься практически нет. При этом пища разогревается быстрее, а значит, вам понадобится меньше времени на готовку, и вы потратите меньше электроэнергии. Современное управление Включайте и выключайте Kosmos-berg ICS 604 одним нажатием пальца. Сенсорная панель очень чувствительная, а все настройки отображаются на дисплее. Температура конфорок регулируется плавно. Кроме того, все конфорки имеют функцию Booster, с которой намного быстрее можно вскипятить воду или обжарить продукт до корочки. Безопасность Несмотря на то, что поверхность самой индукционной плиты не нагревается, индикаторы Остаточного тепла всё же окрашивают тёплые участки в красный цвет. Теперь вы не обожжётесь даже сразу после того, как сняли с «огня» горячую сковородку. Если вам нужно ненадолго выйти из кухни, убавьте температуру сразу всех конфорок до минимального кнопкой Stop & Go и включите блокировку от детей. Стеклокерамика EUROKERA Стеклокерамика передовой материал для варочных поверхностей, который ценится за быструю теплопередачу, быстро нагревается и быстро остывает. EuroKera компания с большой историей успешного производства стеклокерамики для варочных поверхностей. Миллионы покупателей уже оценили надежность и долгий срок службы стеклокерамики EuroKera. BOOSTER Функция бустер ускоряет нагрев позволяя вам достигнуть необходимой температуры для готовки гораздо быстрей. Если вам требуется нагреть большой объем воды или быстро раскалить сковороду, функция Booster поможет вам в этом. STOP AND GO Функция мгновенного отключения нагрева и такого же мгновенного возобновления работы. С этой функцией вы можете остановить процесс готовки если вам нужно отойти одним нажатием. После можно быть уверенными что нагрев прекратился и не опасаясь того что еда подгорит при вашем отсутствии. Блокировка Функция блокировки повышает безопасность использования варочной поверхности. Активировав блокировку вы можете не бояться того что дети изменят настройки или вы переключите мощность случайно положив руку на панель управления. Таймер С функцией таймера вы можете настроить готовку на нужное время. Вы свободно можете заниматься другими делами, не беспокоясь о времени, через которое вам нужно снять еду с плиты. Таймер автоматически остановит процесс готовки и вы сможете снять посуду с плиты когда вам будет удобно. Слайдер Удобное управления одним пальцем без повторных нажатий. Легко и просто передвигая палец вы настраиваете мощность нагрева конфорки. Экономит время и помогает в готовке. Индукционная плита фирмы Kosmos-berg прослужит вам долгие годы. При покупке любой бытовой техники Kosmos-berg предоставляется 2 года гарантийного обслуживания.",черный,,стеклокерамика,независимая,индукционная,59 см,5 см,52 см,56 см,50 см,4,,Экспресс,сенсорные,спереди,нет,,,"Функция Stop & Go. Auto Power. Auto Stop., индикаторы остаточного тепла, блокировка от детей,",нет,Электронное управление; Самодиагностика неисправности; Функция Stop&Go; Защита от детей; Индикация выбранной мощности,64.50х57х11.50 см,9.9 кг,10 лет,2 г.,7 кВт,Экспресс,,нет,4,7 кВт,"кнопка блокировки панели, Автоотключение, Блокировка кнопки включения",9000,,,,560x500,520х590х50,,Hi-Tech,4,4,16 см,19 см,Левая дальняя конфорка - 16 см; Правая дальняя конфорка - 19 см; Левая ближняя конфорка - 19 см; Правая ближняя конфорка - 16 см,слайдерное,"кратковременная пауза, Быстрый нагрев",звуковой с отключением,"Выбранная мощность, Остаточное тепло",50,Сенсорное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стеклокерамическая панель Kosmossgauff HV 32 BA 3 года гарантии, Сенсорное управление, 9 уровней мощности, Таймер, Максимальная мощность 3000 Вт, Защитное автоотключение, Индикация остаточного тепла, Блокировка от детей",варочные панели,"Варочная панель Kosmossgauff в дизайне ""Домино"" - это сочетание самых технологичных решений и эргономичного дизайна Дизайн Домино - это компактное решение, которое позволит вам использовать данную модель даже в малогабаритных кухнях, либо сочетать сразу несколько домино-панелей, с учетом ваших потребностей! Сенсорное управление One Touch, современное и оперативно реагирующее на ваши прикосновения с первого раза, даже в том случае, если руки холодные или влажные! 9 уровней мощности - с ними вы сможете подобрать подходящую температуру для приготовления практически любого блюда! Таймер до 99 минут дает вам возможность запрограммировать время выключения любой конфорки, с точностью до минуты! Максимальная мощность подключения 3000 Вт - делает данную модель по-настоящему мощной, позволяя вам готовить на всех конфорках одновременно, без потерь эффективности каждой рабочей зоны! Защитное автоотключение - это дополнительный уровень безопасности, который гарантирует высокую степень защиты для вас и вашего дома, обеспечивая самостоятельное отключение конфорки! Индикация остаточного тепла, сообщающая вам о том, когда прикасаться к конфорке уже безопасно, а когда - еще нет, ведь в течение некоторого времени после выключения, поверхность варочной панели все еще может оставаться горячей! Блокировка от детей, благодаря которой вы всегда сможете избежать ненужных нажатий на элементы управления, например, во время уборки варочной панели или, чтобы предотвратить её незапланированное включение детьми! Стеклокерамика Vitro Ceramic Glass от одного из лучших мировых производителей - это гарантия действительно высоких показателей прочности, устойчивости к царапинам и высоким температурам, благодаря чему ваша варочная панель будет радовать вас долгие годы!",чёрный,да,стеклокерамика,независимая,электрическая,29 см,4.7 см,51 см,27.5 см,49 см,2,,,"Электронное, спереди",спереди,нет,,,"блокировка от детей, индикаторы остаточного тепла",нет,"9 уровней мощности, таймер до 99 минут",36х56х11 см,5.5 кг,5 лет,"3 г., Гарантия 3 года действует на товар приобретённый с 24.03.2024",3 кВт,HiLight,,нет,,6.5 кВт,"защитное отключение конфорок, кнопка блокировки панели",,,,,,,,BLACK EDITION,2,,,,,кнопочное,распознавание наличия посуды,с отключением,,,,2,без рамки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Электрическая варочная панель Kosmosfee CEH301, стеклокерамика, черный, 2 конфорки, ширина 29 см, сенсорное управление, 9 уровней мощности, таймер, блокировка",варочные панели,"Встраиваемая электрическая варочная панель Kosmosfee CEH301 - это современное и функциональное решение для вашей кухни. МОЩНОСТЬ И ПРОСТОТА УПРАВЛЕНИЯ Варочная панель оснащена 2 конфорками Hi Light мощностью 3300 Вт, которые обеспечивают быстрый нагрев и равномерное распределение тепла. Максимальный диаметр конфорки составляет 20 см, а минимальный - 16,5 см. Управление конфорками осуществляется с помощью сенсорных переключателей с 9 уровнями мощностей, что делает использование панели простым и удобным. НАСТРОЙКА ВРЕМЕНИ ПРИГОТОВЛЕНИЯ Каждая конфорка оснащена таймером, чтобы вы смогли с легкостью контролировать процесс приготовления. Звуковой таймер с отключением обеспечивает точность и удобство использования. БЕЗОПАСНОСТЬ ИСПОЛЬЗОВАНИЯ Защитное отключение конфорок, индикатор остаточного тепла и кнопка блокировки панели обеспечивают максимальную безопасность использования. УНИВЕРСАЛЬНОСТЬ Панель имеет дизайн ""домино"", что позволяет устанавливать ее в любом месте кухни, включая углы. Такой дизайн делает ее еще более универсальной и удобной в использовании. СТИЛЬНЫЙ ДИЗАЙН Материал панели - стеклокерамика, обеспечивающая высокую прочность и долговечность. Черный цвет панели придает ей стильный и современный вид, который легко впишется в любой интерьер кухни. Встраиваемая электрическая варочная панель Kosmosfee CEH301 - это надежный и функциональный выбор для вашей кухни, который сочетает в себе стиль, удобство использования и безопасность.",черная,да,стеклокерамика,независимая,электрическая,28.2 см,5.5 см,52 см,26.8 см,49 см,2,,,сенсорные,спереди,,,,,,в комплекте сетевой шнур без вилки; комплект монтажа;документация,14х61х39 см,6.2 кг,10 лет,2 г.,2.7 кВт,Hi Light,,,,3.3 кВт,"защитное отключение конфорок, индикатор остаточного тепла, кнопка блокировки панели",,,,,,,,,,,16.5 см,20 см,,кнопочное,таймер,звуковой с отключением,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Электрическая варочная панель Kosmosfee CEH601, стеклокерамика, черный, 4 конфорки, сенсорное управление, 9 уровней мощности, таймер, блокировка",варочные панели,"Встраиваемая электрическая варочная панель Kosmosfee CEH601 - это современное и функциональное решение для вашей кухни. мощность И простота управления Варочная панель оснащена 4 конфорками Hi Light мощностью 6500 Вт, которые обеспечивают быстрый нагрев и равномерное распределение тепла. Максимальный диаметр конфорки составляет 20 см, а минимальный - 16,5 см. Управление конфорками осуществляется с помощью сенсорных переключателей с 9 уровнями мощностей, что делает использование панели простым и удобным. настройка времени приготовления Каждая конфорка оснащена таймером, чтобы вы смогли с легкостью контролировать процесс приготовления. Звуковой таймер с отключением обеспечивает точность и удобство использования. безопасность использования Защитное отключение конфорок, индикатор остаточного тепла и кнопка блокировки панели обеспечивают максимальную безопасность использования. универсальность Компактность панели и ее независимая установка позволяет разместить ее в любом удобном для вас месте. стильный дизайн Варочная панель выполнена из стеклокерамики, что обеспечивает ее высокую прочность и долговечность, быстрый и равномерный нагрев, а также легкость в уходе и очистке. Черный цвет панели придает ей стильный и современный вид, который легко впишется в любой интерьер кухни. Встраиваемая электрическая варочная панель Kosmosfee CEH601 - это надежный и функциональный выбор для вашей кухни, который сочетает в себе стиль, удобство использования и безопасность.",ченрый,,стеклокерамика,независимая,электрическая,59 см,5.1 см,52 см,56 см,49 см,4,,,сенсорные,спереди,да,автоматический,нет,трехфазное подключение,нет,,69х63х12 см,10 кг,10 лет,2 г.,5.5 кВт,Hi Light,,нет,,6.5 кВт,"защитное отключение конфорок, индикатор остаточного тепла, кнопка блокировки панели",,,,,,,,,4,,16.5 см,20 см,,кнопочное,таймер,звуковой с отключением,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Электрическая варочная панель Kosmosfeld CVCE292BK черная стеклокерамика, 1.2 кВт, 2 конфорки, быстрый нагрев, индикация работы",варочные панели,"Электрическая встраиваемая варочная панель шириной 30 см выполнена из ударопрочной стеклокерамики черного цвета. Благодаря идеальной гладкости и высокой износостойкости она легко очищается. Hi-Light конфорки, установленные в этой модели, очень быстро нагреваются. В данной модели установлена одна конфорка мощностью 1200 Вт (d=165 мм) и конфорка мощностью 1800 Вт (d=200мм). 9 уровней мощности обеспечивают точность в настройках температурного режима. Это поможет выставить оптимально подходящую температуру, что обеспечит как томление блюда на невысоких градусах, так и максимально быстрый и интенсивный разогрев. Сенсорное управление с красной индикацией, расположенное на фронтальной поверхности, дает возможность: выбрать уровень мощности для каждой конфорки (от 0 до 9) выставить таймер (от 1 до 99 минут) для отключения одной или двух варочных зон по истечении заданного времени.",черный,да,стеклокерамика,независимая,электрическая,29 см,5.2 см,52 см,28 см,49 см,2,,HiLight,сенсорные,спереди,нет,,нет,"быстрый нагрев, дисплей, индикация работы",нет,,35х59х10 см,4.301 кг,10 лет,2 г.,1.2 кВт,"Hi Light, электроконфорка",,нет,,3 кВт,защитное отключение конфорок,,,,,,,,CVCE,2,,16.5 см,20 см,"165 мм, 200 мм",кнопочное,таймер,с отключением,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
